[LOG] [Fri Apr 25 14:25:13 2025] Log Init. 
[LOG] [Fri Apr 25 14:25:13 2025] Engine pre initialization complete. 
[LOG] [Fri Apr 25 14:25:13 2025] DirectXRenderingEngine pre initialization complete. 
[LOG] [Fri Apr 25 14:25:13 2025] InitWindows complete. 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[LOG] [Fri Apr 25 14:25:13 2025] DirectXRenderingEngine initialization complete. 
[LOG] [Fri Apr 25 14:25:13 2025] Engine initialization complete. 
[LOG] [Fri Apr 25 14:25:13 2025] Engine post initialization complete. 
[LOG] [Fri Apr 25 14:25:13 2025] Engine post initialization complete. 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:13 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:14 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:14 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:14 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:14 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:14 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:14 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:14 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:14 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:14 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:14 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:14 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:14 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:14 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:14 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:14 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:14 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:14 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:14 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:14 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:14 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:14 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:14 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:14 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:14 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:14 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:14 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:14 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:14 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:14 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:14 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:14 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:14 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:14 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:14 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:14 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:14 2025] Success ! 
[SUCCESS] [Fri Apr 25 14:25:14 2025] Success ! 
