[LOG] [Thu Apr 24 16:18:39 2025] Log Init. 
[LOG] [Thu Apr 24 16:18:39 2025] Engine pre initialization complete. 
[LOG] [Thu Apr 24 16:18:39 2025] DirectXRenderingEngine pre initialization complete. 
[LOG] [Thu Apr 24 16:18:39 2025] InitWindows complete. 
[SUCCESS] [Thu Apr 24 16:18:39 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:39 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:39 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:39 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:39 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:39 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:39 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:39 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:39 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:39 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:39 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:39 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:39 2025] Success ! 
[LOG] [Thu Apr 24 16:18:39 2025] DirectXRenderingEngine initialization complete. 
[LOG] [Thu Apr 24 16:18:39 2025] Engine initialization complete. 
[LOG] [Thu Apr 24 16:18:39 2025] Engine post initialization complete. 
[LOG] [Thu Apr 24 16:18:39 2025] Engine post initialization complete. 
[SUCCESS] [Thu Apr 24 16:18:39 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:39 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:39 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:39 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:39 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:39 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:39 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:40 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:40 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:40 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:40 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:40 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:40 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:40 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:40 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:40 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:40 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:40 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:40 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:40 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:40 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:40 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:40 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:40 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:40 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:40 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:40 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:40 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:40 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:40 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:40 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:40 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:40 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:40 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:40 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:40 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:40 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:40 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:40 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:40 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:40 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:40 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:40 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:40 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:40 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:40 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:40 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:40 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:40 2025] Success ! 
[SUCCESS] [Thu Apr 24 16:18:40 2025] Success ! 
